"","Plot","Batch","TYPE","Wells","FileExtension","PlateRead","Template","Depth","Weight","Time_Slurry_Add","Time_NaOH_ADd","Time_Read","Moisture_Frac","Dry_Weight_Equivalent","notes"
"1","101","3","A","G12","2021_PARCE_EEA_Batch3-101",70,"Buf","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"2","101","3","A","C07","2021_PARCE_EEA_Batch3-101",7053,"quench_MUB1.25","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"3","101","3","A","D06","2021_PARCE_EEA_Batch3-101",2802,"Cello_assay","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"4","101","3","A","D12","2021_PARCE_EEA_Batch3-101",62,"Buf","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"5","101","3","A","H11","2021_PARCE_EEA_Batch3-101",197,"Hombl","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"6","101","3","A","F03","2021_PARCE_EEA_Batch3-101",21054,"BG_assay","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"7","101","3","A","F06","2021_PARCE_EEA_Batch3-101",2757,"Cello_assay","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"8","101","3","A","H05","2021_PARCE_EEA_Batch3-101",3060,"NAG_assay","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"9","101","3","A","E03","2021_PARCE_EEA_Batch3-101",29760,"BG_assay","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"10","101","3","A","H06","2021_PARCE_EEA_Batch3-101",2152,"Cello_assay","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"11","101","3","A","E02","2021_PARCE_EEA_Batch3-101",477,"Cello_sub_blank","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"12","101","3","A","A06","2021_PARCE_EEA_Batch3-101",1585,"Cello_assay","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
"13","101","3","A","E12","2021_PARCE_EEA_Batch3-101",62,"Buf","0-15",0.52,"10:51","11:51","11:52",0.1008,0.4676,""
